repo,repo_url,score,stars,pushed,release_asset_count,release_asset_name,release_asset_url,is_extension,distribution,notes
phrrngtn/blobboxes,https://github.com/phrrngtn/blobboxes,10,1,2026-02-24 02:28:22,0,,,,,
Dtenwolde/Duckmail,https://github.com/Dtenwolde/Duckmail,10,1,2025-02-17 08:25:02,0,,,,,
xevix/duckdb-autoattach,https://github.com/xevix/duckdb-autoattach,10,1,2025-03-14 00:31:52,0,,,,,
romangershgorin/duckdb-glue,https://github.com/romangershgorin/duckdb-glue,10,1,2025-03-11 22:32:34,0,,,,,
halgari/fsquery,https://github.com/halgari/fsquery,10,1,2025-11-20 11:36:49,0,,,,,
hannes/sequence-map-demo,https://github.com/hannes/sequence-map-demo,10,1,2025-04-11 12:55:05,0,,,,,
discretizer/duckdb-ros-extension,https://github.com/discretizer/duckdb-ros-extension,10,1,2024-07-29 19:13:44,0,,,,,
10adnan75/poly-learned-index,https://github.com/10adnan75/poly-learned-index,10,1,2025-09-03 04:43:47,0,,,,,
nzpznk/spliter,https://github.com/nzpznk/spliter,10,0,2025-05-13 06:54:08,0,,,,,
gabihodoroaga/duckdb-sftpfs,https://github.com/gabihodoroaga/duckdb-sftpfs,10,0,2025-06-07 21:22:46,0,,,,,
opensourceworks-org/table-function,https://github.com/opensourceworks-org/table-function,10,0,2024-09-14 13:14:47,0,,,,,
YoEight/duckdb_esdb_rust,https://github.com/YoEight/duckdb_esdb_rust,10,0,2024-11-25 15:20:30,0,,,,,
Query-farm/discreture,https://github.com/Query-farm/discreture,10,0,2026-02-01 08:02:51,0,,,,,
KabilanMA/duckdb-sqlm,https://github.com/KabilanMA/duckdb-sqlm,10,0,2025-01-13 13:23:24,0,,,,,
Vincenthays/duckdb-extension-rust,https://github.com/Vincenthays/duckdb-extension-rust,10,0,2024-09-26 20:21:16,0,,,,,
JackbyYao/bitmap_index_extension_4_duckdb,https://github.com/JackbyYao/bitmap_index_extension_4_duckdb,10,0,2025-12-03 02:32:54,0,,,,,
Cserki/nvmefs-personal,https://github.com/Cserki/nvmefs-personal,10,0,2025-11-06 14:47:29,0,,,,,
freddie-freeloader/duckdb-extension-test,https://github.com/freddie-freeloader/duckdb-extension-test,10,0,2024-09-21 12:51:52,0,,,,,
pindamonhangaba/duckdb-qvd,https://github.com/pindamonhangaba/duckdb-qvd,10,0,2025-10-09 03:31:41,0,,,,,
Louyk14/gopt_exp,https://github.com/Louyk14/gopt_exp,10,0,2024-04-13 06:19:13,0,,,,,
sebastiaan-dev/duckdb-fastlanes,https://github.com/sebastiaan-dev/duckdb-fastlanes,10,0,2025-11-14 13:13:13,0,,,,,
Louyk14/gopt_experiment,https://github.com/Louyk14/gopt_experiment,10,0,2023-11-09 08:58:26,0,,,,,
eddelbuettel/duckdb-example-extension,https://github.com/eddelbuettel/duckdb-example-extension,10,0,2025-11-14 18:55:46,0,,,,,
gropaul/resting_duck,https://github.com/gropaul/resting_duck,10,0,2024-07-17 14:08:30,0,,,,,
suvayu/spine-disk-spill,https://github.com/suvayu/spine-disk-spill,10,0,2026-02-17 02:36:00,0,,,,,
jghoman/duckdb-apachedatasketches-extension,https://github.com/jghoman/duckdb-apachedatasketches-extension,10,0,2024-06-25 01:39:47,0,,,,,
stpavliuk/duckdb-ldbc,https://github.com/stpavliuk/duckdb-ldbc,10,0,2026-02-26 00:40:55,0,,,,,
suvayu/duckdb-pdb,https://github.com/suvayu/duckdb-pdb,10,0,2025-05-25 15:46:51,0,,,,,
nopcoder/duckdb-lakefs,https://github.com/nopcoder/duckdb-lakefs,10,0,2025-06-14 22:46:39,0,,,,,
dominic-lcw/styler,https://github.com/dominic-lcw/styler,10,0,2024-12-22 13:38:02,0,,,,,
gurjeet/pg_lake-clone,https://github.com/gurjeet/pg_lake-clone,10,0,2025-11-04 22:19:54,0,,,,,
mumblepins/duckdb-affine-gap,https://github.com/mumblepins/duckdb-affine-gap,10,0,2024-06-03 18:01:04,0,,,,,
yoojinc3/duckdb-graphdb,https://github.com/yoojinc3/duckdb-graphdb,10,0,2024-08-12 04:03:54,0,,,,,
J-Meyers/duckdb_reshape_extension,https://github.com/J-Meyers/duckdb_reshape_extension,10,0,2024-11-22 19:48:42,0,,,,,
newtonapple/duckdb-example-extension,https://github.com/newtonapple/duckdb-example-extension,10,0,2025-10-16 20:41:01,0,,,,,
Query-farm/workshop-1,https://github.com/Query-farm/workshop-1,10,0,2026-01-25 22:23:13,0,,,,,
adevday/duckdb-journald,https://github.com/adevday/duckdb-journald,10,0,2024-12-09 12:31:51,0,,,,,
lebmatter/duckdb-clusterhash,https://github.com/lebmatter/duckdb-clusterhash,10,0,2026-02-04 09:13:57,1,clusterhash.duckdb_extension,https://github.com/lebmatter/duckdb-clusterhash/releases/download/v1.0.0/clusterhash.duckdb_extension,,,
nicosuave/measures,https://github.com/nicosuave/measures,10,0,2024-09-20 18:35:47,0,,,,,
pindamonhangaba/ducktaped,https://github.com/pindamonhangaba/ducktaped,10,0,2025-06-21 01:46:04,0,,,,,
povs2012/nusp_rtdb_extension,https://github.com/povs2012/nusp_rtdb_extension,10,0,2025-10-29 02:59:28,0,,,,,
MrwanBaghdad/duck-db-extension-test-sprint,https://github.com/MrwanBaghdad/duck-db-extension-test-sprint,10,0,2024-09-15 21:13:22,0,,,,,
Query-farm/blake3,https://github.com/Query-farm/blake3,10,0,2026-02-01 08:02:19,0,,,,,
ddiwu/sirius,https://github.com/ddiwu/sirius,10,0,2025-09-02 19:30:39,0,,,,,
Baderik/test-graphar,https://github.com/Baderik/test-graphar,10,0,2025-10-10 02:44:05,0,,,,,
gropaul/duckdb_gui,https://github.com/gropaul/duckdb_gui,10,0,2024-12-03 22:26:22,0,,,,,
zbalkan/duckdb-lognorm-extension,https://github.com/zbalkan/duckdb-lognorm-extension,10,0,2025-10-12 20:01:45,0,,,,,
GordonSmith/hpcc-fs,https://github.com/GordonSmith/hpcc-fs,10,0,2025-07-24 15:36:29,0,,,,,
itsknk/duckdb_extension_tryout,https://github.com/itsknk/duckdb_extension_tryout,10,0,2024-12-06 13:58:08,0,,,,,
codedthinking/stata-dta,https://github.com/codedthinking/stata-dta,10,0,2025-07-29 16:38:14,0,,,,,
jeroenflvr/rest-api-extension,https://github.com/jeroenflvr/rest-api-extension,10,0,2024-10-11 16:14:14,0,,,,,
gzrp/geofer,https://github.com/gzrp/geofer,10,0,2026-01-29 05:11:03,0,,,,,
J-Meyers/duckdb_blob_list_casting_extension,https://github.com/J-Meyers/duckdb_blob_list_casting_extension,10,0,2024-11-22 17:16:41,0,,,,,
luabase/duckdb-gcs,https://github.com/luabase/duckdb-gcs,10,0,2026-02-09 16:55:35,0,,,,,
yuanjihuang/test_duckdb_extension,https://github.com/yuanjihuang/test_duckdb_extension,10,0,2024-09-19 07:48:15,0,,,,,
motherduckdb/test-utils,https://github.com/motherduckdb/test-utils,10,0,2026-02-27 16:17:32,0,,,,,
jishrup/RadixSpline,https://github.com/jishrup/RadixSpline,10,0,2024-11-29 22:41:19,0,,,,,
sonesuke/elephant-duck-extension,https://github.com/sonesuke/elephant-duck-extension,10,0,2024-09-08 09:59:49,0,,,,,
warrenbhw/duckdb_notion,https://github.com/warrenbhw/duckdb_notion,10,0,2024-12-03 02:36:52,0,,,,,
cogniris/duckdb_salesforce,https://github.com/cogniris/duckdb_salesforce,10,0,2026-01-22 08:30:06,0,,,,,
MaslovAlexey1/geo_stats,https://github.com/MaslovAlexey1/geo_stats,10,0,2025-01-24 15:12:32,0,,,,,
MattOates/duckdb-spanner,https://github.com/MattOates/duckdb-spanner,10,0,2025-09-17 21:42:04,0,,,,,
brannn/duckdb-usd,https://github.com/brannn/duckdb-usd,10,0,2025-12-11 00:22:38,0,,,,,
geosquareai/geosquare_grid_duckdb,https://github.com/geosquareai/geosquare_grid_duckdb,10,0,2026-02-25 02:25:21,0,,,,,
p-hoffmann/trexsql,https://github.com/p-hoffmann/trexsql,10,0,2026-02-13 15:37:07,0,,,,,
predictable-labs/ryugraph,https://github.com/predictable-labs/ryugraph,9,126,2026-01-20 20:03:21,0,,,,,
Giorgi/DuckDB.ExtensionKit,https://github.com/Giorgi/DuckDB.ExtensionKit,9,41,2026-02-28 21:08:36,0,,,,,
rupurt/duckdb-extension-template-zig,https://github.com/rupurt/duckdb-extension-template-zig,9,35,2024-03-16 21:10:24,0,,,,,
hrbrmstr/duckdb-pcap,https://github.com/hrbrmstr/duckdb-pcap,9,19,2024-08-31 07:27:36,0,,,,,
quackscience/duckdb-extension-kafquack,https://github.com/quackscience/duckdb-extension-kafquack,9,9,2025-01-01 20:03:52,0,,,,,
vincent-chang/duckdb-hdfs,https://github.com/vincent-chang/duckdb-hdfs,9,7,2025-11-03 13:27:14,0,,,,,
danjsiegel/snowducks,https://github.com/danjsiegel/snowducks,9,6,2025-06-24 03:09:47,0,,,,,
